,state,sat_participation_rates,reading_and_writing,sat_math,total,act_participation_rates,english,act_math,reading,science,composite
5,Colorado,1.0,519.0,506.0,1025.0,0.3,,,,,23.9
6,Connecticut,1.0,535.0,519.0,1053.0,0.26,,,,,25.6
7,Delaware,1.0,505.0,492.0,998.0,0.17,,,,,23.8
8,Florida,0.56,550.0,549.0,1099.0,0.66,,,,,19.9
9,Georgia,0.7,542.0,522.0,1064.0,0.53,,,,,21.4
10,Hawaii,0.56,480.0,530.0,1010.0,0.89,,,,,18.9
11,Idaho,1.0,508.0,493.0,1001.0,0.36,,,,,22.3
12,Illinois,0.99,513.0,506.0,1019.0,0.43,,,,,23.9
13,Indiana,0.63,542.0,532.0,1074.0,0.32,,,,,22.5
14,Iowa,0.03,634.0,631.0,1265.0,0.68,,,,,21.8
15,Kansas,0.04,633.0,631.0,1265.0,0.71,,,,,21.6
16,Kentucky,0.04,630.0,618.0,1248.0,1.0,,,,,20.2
17,Louisiana,0.04,615.0,595.0,1210.0,1.0,,,,,19.2
18,Maine,0.99,512.0,501.0,1013.0,0.07,,,,,24.0
19,Maryland,0.76,545.0,535.0,1080.0,0.31,,,,,22.5
20,Massachusetts,0.8,562.0,563.0,1125.0,0.25,,,,,25.5
21,Michigan,1.0,511.0,499.0,1011.0,0.22,,,,,24.2
22,Minnesota,0.04,643.0,655.0,1298.0,0.99,,,,,21.3
23,Mississippi,0.03,630.0,606.0,1236.0,1.0,,,,,18.6
24,Missouri,0.04,633.0,629.0,1262.0,1.0,,,,,20.0
25,Montana,0.1,606.0,592.0,1198.0,1.0,,,,,20.0
26,Nebraska,0.03,629.0,623.0,1252.0,1.0,,,,,20.1
27,Nevada,0.23,574.0,566.0,1140.0,1.0,,,,,17.7
28,New Hampshire,0.96,535.0,528.0,1063.0,0.16,,,,,25.1
29,New Jersey,0.82,547.0,547.0,1094.0,0.31,,,,,23.7
30,New Mexico,0.16,552.0,540.0,1093.0,0.67,,,,,19.4
31,New York,0.79,534.0,534.0,1068.0,0.27,,,,,24.5
32,North Carolina,0.52,554.0,543.0,1098.0,1.0,,,,,19.1
33,North Dakota,0.02,640.0,643.0,1283.0,0.98,,,,,20.3
34,Oklahoma,0.08,541.0,521.0,1062.0,1.0,,,,,19.3
35,Ohio,0.18,552.0,547.0,1099.0,1.0,,,,,20.3
36,Oregon,0.48,564.0,553.0,1117.0,0.42,,,,,21.3
37,Pennsylvania,0.7,547.0,539.0,1086.0,0.2,,,,,23.5
38,Rhode Island,0.97,513.0,505.0,1018.0,0.15,,,,,24.2
39,South Carolina,0.55,547.0,523.0,1070.0,1.0,,,,,18.3
40,South Dakota,0.03,622.0,618.0,1240.0,0.77,,,,,21.9
41,Tennessee,0.06,624.0,607.0,1231.0,1.0,,,,,19.6
42,Texas,0.66,520.0,512.0,1032.0,0.45,,,,,20.7
43,Utah,0.04,480.0,530.0,1010.0,1.0,,,,,20.4
44,Vermont,0.64,565.0,554.0,1120.0,0.24,,,,,24.1
45,Virginia,0.68,567.0,550.0,1117.0,0.24,,,,,23.9
46,Washington,0.69,543.0,538.0,1081.0,0.24,,,,,22.2
47,West Virginia,0.28,513.0,486.0,999.0,0.65,,,,,20.3
48,Wisconsin,0.03,641.0,653.0,1294.0,1.0,,,,,20.5
49,Wyoming,0.03,633.0,625.0,1257.0,1.0,,,,,20.0
50,District of columbia,,,,,0.32,,,,,23.6
